stage,r,N,A_hh,N_hh,C,R_asset,R_labor,finite,hjb_converged
inner_brentq,-0.02,0.91719128332055,1.5732303390800795,0.9171912831132036,1.085726676392078,-8.42676966091992,-2.0734636230201886e-10,True,True
inner_brentq,-0.02,0.9171912823619544,1.5732303397799665,0.9171912833377481,1.0857266762575422,-8.426769660220033,9.757937791121662e-10,True,True
outer_brentq,-0.02,0.91719128332055,1.5732303390800795,0.9171912831132036,1.085726676392078,-8.42676966091992,-2.0734636230201886e-10,True,True
inner_primary_lower,0.0095,0.2,30.001850419958945,1.133826793249235,1.0514782242078182,20.001850419958945,0.933826793249235,True,True
inner_primary_upper,0.0095,2.0,17.74164211495426,0.8169959651335378,1.2355844087283196,7.74164211495426,-1.183004034866462,True,True
inner_brentq,0.0095,0.2,30.001850419958945,1.133826793249235,1.0514782242078182,20.001850419958945,0.933826793249235,True,True
inner_brentq,0.0095,2.0,17.74164211495426,0.8169959651335378,1.2355844087283196,7.74164211495426,-1.183004034866462,True,True
inner_brentq,0.0095,0.9940588381098316,24.18441179953213,0.9883935842139066,1.1247978620291117,14.184411799532128,-0.005665253895925093,True,True
inner_brentq,0.0095,0.9892705645530036,24.21771721026876,0.9892456323313079,1.1243212177268704,14.21771721026876,-2.4932221695639356e-05,True,True
inner_brentq,0.0095,0.9892493992511905,24.217864479822637,0.9892493992907752,1.1243191118375373,14.217864479822637,3.958466887610257e-11,True,True
inner_brentq,0.0095,0.9892494002458152,24.217864472914727,0.9892493991136587,1.1243191119365705,14.217864472914727,-1.1321564796773487e-09,True,True
outer_brentq,0.0095,0.9892493992511905,24.217864479822637,0.9892493992907752,1.1243191118375373,14.217864479822637,3.958466887610257e-11,True,True
inner_primary_lower,-0.009022136394340265,0.2,3.4789088078000514,1.1959751712960056,0.9643165871773002,-6.521091192199949,0.9959751712960057,True,True
